user_id,acquisition_date,last_active_date,platform_used,total_active_days,total_activity_days
272069,2024-03-01,2024-05-01,ios,53,62
272070,2024-03-16,2024-05-01,android,47,47
272071,2024-04-01,2024-05-01,android,28,31
272073,2024-04-04,2024-04-30,android,22,27
272077,2024-03-23,2024-05-01,ios,36,40
272078,2024-03-08,2024-03-18,ios,10,11
272079,2024-04-15,2024-04-23,android,6,9
272081,2024-03-01,2024-03-01,android,1,1
272082,2024-04-01,2024-04-04,android,4,4
272083,2024-03-30,2024-04-30,android,25,32
272084,2024-04-11,2024-05-01,android,17,21
272085,2024-03-01,2024-05-01,android,60,62
272086,2024-03-24,2024-04-12,android,13,20
272089,2024-03-11,2024-03-31,ios,19,21
272090,2024-03-01,2024-03-23,android,21,23
272091,2024-04-07,2024-04-07,android,1,1
272092,2024-04-13,2024-05-01,android,19,19
272093,2024-04-14,2024-04-26,ios,8,13
272094,2024-04-19,2024-04-22,android,4,4
272095,2024-03-03,2024-04-27,android,50,56
272096,2024-04-02,2024-05-01,android,28,30
272097,2024-03-01,2024-03-22,android,21,22
272098,2024-03-01,2024-05-01,android,41,62
272099,2024-04-01,2024-04-16,android,9,16
272100,2024-04-01,2024-05-01,android,28,31
272101,2024-03-21,2024-04-22,android,13,33
272102,2024-04-01,2024-04-23,android,16,23
272103,2024-03-23,2024-05-01,android,39,40
272104,2024-04-18,2024-05-01,android,14,14
272106,2024-03-26,2024-04-19,android,14,25
272107,2024-03-30,2024-04-27,android,29,29
272109,2024-04-03,2024-05-01,android,20,29
272110,2024-04-10,2024-05-01,android,21,22
272111,2024-04-03,2024-04-07,android,5,5
272112,2024-03-22,2024-03-29,android,6,8
272114,2024-03-01,2024-04-17,android,5,48
272115,2024-03-11,2024-04-30,android,23,51
272116,2024-03-29,2024-04-21,android,14,24
272117,2024-03-19,2024-05-01,ios,41,44
272119,2024-04-12,2024-04-26,android,10,15
272120,2024-03-01,2024-05-01,ios,46,62
272121,2024-03-07,2024-03-11,android,5,5
272122,2024-04-08,2024-04-25,android,12,18
272123,2024-03-15,2024-03-22,android,7,8
272124,2024-04-04,2024-05-01,android,24,28
272125,2024-04-01,2024-04-25,android,11,25
272126,2024-04-10,2024-05-01,android,19,22
272128,2024-04-13,2024-05-01,android,19,19
272130,2024-03-08,2024-05-01,android,42,55
272133,2024-04-06,2024-04-28,android,3,23
272134,2024-04-04,2024-05-01,android,28,28
272135,2024-03-18,2024-03-20,android,3,3
272136,2024-03-22,2024-04-07,android,15,17
272138,2024-03-29,2024-04-13,android,15,16
272140,2024-03-08,2024-05-01,ios,48,55
272141,2024-04-01,2024-05-01,android,29,31
272143,2024-03-01,2024-03-12,android,10,12
272144,2024-04-16,2024-04-16,android,1,1
272148,2024-04-22,2024-04-24,android,3,3
272149,2024-04-04,2024-05-01,android,20,28
272151,2024-04-10,2024-04-21,android,8,12
272153,2024-04-02,2024-05-01,android,23,30
272154,2024-04-18,2024-04-26,android,7,9
272156,2024-03-01,2024-03-16,android,12,16
272159,2024-03-29,2024-04-15,android,11,18
272160,2024-03-31,2024-04-30,android,23,31
272161,2024-04-11,2024-04-30,android,11,20
272163,2024-03-01,2024-04-22,android,16,53
272164,2024-04-12,2024-05-01,android,20,20
272168,2024-03-03,2024-03-06,android,4,4
272169,2024-03-18,2024-04-14,android,12,28
272170,2024-04-21,2024-04-28,android,6,8
272171,2024-04-15,2024-04-23,android,8,9
272172,2024-03-03,2024-03-31,android,7,29
272173,2024-03-01,2024-04-21,android,22,52
272174,2024-04-02,2024-04-25,android,16,24
272176,2024-04-17,2024-04-29,android,10,13
272178,2024-03-11,2024-04-07,android,11,28
272179,2024-03-01,2024-03-06,android,2,6
272180,2024-04-05,2024-05-01,android,24,27
272181,2024-03-01,2024-03-22,android,6,22
272183,2024-03-01,2024-05-01,android,50,62
272184,2024-03-05,2024-04-09,android,30,36
272185,2024-04-18,2024-04-30,android,8,13
272186,2024-03-16,2024-03-29,android,7,14
272188,2024-04-02,2024-04-02,android,1,1
272189,2024-03-01,2024-05-01,android,52,62
272190,2024-04-19,2024-04-29,android,10,11
272192,2024-04-06,2024-04-24,android,9,19
272193,2024-03-01,2024-04-15,android,10,46
272194,2024-04-18,2024-04-29,android,12,12
272195,2024-03-05,2024-03-17,android,3,13
272198,2024-03-01,2024-05-01,android,51,62
272199,2024-03-29,2024-05-01,android,24,34
272200,2024-03-01,2024-05-01,android,62,62
272201,2024-03-24,2024-04-30,android,30,38
272202,2024-04-02,2024-04-17,android,11,16
272203,2024-04-15,2024-04-24,android,3,10
272204,2024-03-01,2024-04-30,android,47,61
272206,2024-03-20,2024-04-09,android,9,21
272208,2024-03-01,2024-03-09,android,4,9
272209,2024-03-17,2024-05-01,android,25,46
272210,2024-04-08,2024-04-16,android,8,9
272211,2024-03-05,2024-03-13,android,8,9
272212,2024-04-20,2024-04-29,android,9,10
272213,2024-03-01,2024-03-11,android,2,11
272214,2024-03-07,2024-03-20,android,11,14
272216,2024-03-17,2024-04-09,android,10,24
272217,2024-04-23,2024-04-30,android,6,8
272219,2024-03-06,2024-03-15,android,7,10
272221,2024-03-06,2024-04-28,ios,22,54
272223,2024-03-17,2024-04-08,android,8,23
272224,2024-03-30,2024-04-30,android,13,32
272226,2024-03-07,2024-03-11,android,5,5
272227,2024-04-12,2024-04-24,android,12,13
272228,2024-03-01,2024-04-30,android,58,61
272229,2024-03-04,2024-04-17,android,22,45
272230,2024-03-08,2024-03-26,android,12,19
272231,2024-03-30,2024-04-19,android,13,21
272233,2024-03-29,2024-04-29,android,23,32
272235,2024-03-13,2024-05-01,android,21,50
272236,2024-03-28,2024-04-20,android,11,24
272237,2024-03-21,2024-04-17,android,15,28
272238,2024-03-20,2024-05-01,android,18,43
272239,2024-04-08,2024-04-15,android,7,8
272240,2024-03-11,2024-04-20,android,20,41
272241,2024-03-22,2024-04-07,ios,9,17
