user_id,total_purchase_value_inApp,total_purchases_inApp,first_purchase_date_inApp,last_purchase_date_inApp,number_of_purchase_days_inApp,preferred_product_inApp,average_purchase_value_inApp
272143,4.99,1,2024-03-01,2024-03-01,1,Gold,4.99
272161,9.99,1,2024-04-15,2024-04-15,1,Gold,9.99
272164,129.94,6,2024-04-15,2024-05-01,4,Gold,21.66
272189,89.86,14,2024-03-06,2024-04-21,10,Promotion,6.42
272192,9.98,2,2024-04-14,2024-04-14,1,Promotion,4.99
272206,4.99,1,2024-03-22,2024-03-22,1,Promotion,4.99
272219,9.98,2,2024-03-06,2024-03-07,2,Gold,4.99
272243,9.98,2,2024-03-15,2024-03-24,2,Promotion,4.99
272270,19.96,4,2024-04-15,2024-04-17,2,Gold,4.99
272271,14.97,3,2024-04-14,2024-04-15,2,Gold,4.99
272281,4.99,1,2024-03-19,2024-03-19,1,Promotion,4.99
272297,9.98,2,2024-03-15,2024-03-15,1,Gold,4.99
272333,4.99,1,2024-04-09,2024-04-09,1,Gold,4.99
272394,14.97,3,2024-04-15,2024-04-26,3,Remove Ads,4.99
272405,29.94,6,2024-03-31,2024-05-01,6,Remove Ads,4.99
272413,4.99,1,2024-03-14,2024-03-14,1,Promotion,4.99
272448,4.99,1,2024-04-21,2024-04-21,1,Promotion,4.99
272505,19.97,3,2024-04-22,2024-04-29,3,Promotion,6.66
272523,4.99,1,2024-03-29,2024-03-29,1,Promotion,4.99
272547,4.99,1,2024-03-12,2024-03-12,1,Promotion,4.99
272600,4.99,1,2024-03-27,2024-03-27,1,Gold,4.99
272609,4.99,1,2024-04-19,2024-04-19,1,Promotion,4.99
272628,4.99,1,2024-03-10,2024-03-10,1,Promotion,4.99
272742,4.99,1,2024-04-01,2024-04-01,1,Gold,4.99
272746,24.96,4,2024-03-29,2024-04-03,3,Promotion,6.24
272749,4.99,1,2024-04-14,2024-04-14,1,Promotion,4.99
272776,39.94,6,2024-03-24,2024-04-28,4,Promotion,6.66
272829,4.99,1,2024-04-12,2024-04-12,1,Remove Ads,4.99
272901,4.99,1,2024-03-07,2024-03-07,1,Gold,4.99
272920,49.98,2,2024-04-15,2024-04-16,2,Gold,24.99
272951,4.99,1,2024-03-28,2024-03-28,1,Promotion,4.99
272963,4.99,1,2024-04-05,2024-04-05,1,Promotion,4.99
273137,0.0,1,2024-04-02,2024-04-02,1,Remove Ads,0.0
273281,14.97,3,2024-04-15,2024-04-20,2,Promotion,4.99
273299,14.97,3,2024-03-11,2024-03-19,3,Gold,4.99
273379,14.97,3,2024-04-05,2024-04-20,3,Promotion,4.99
273481,9.98,2,2024-03-03,2024-03-13,2,Gold,4.99
273557,14.97,3,2024-05-01,2024-05-01,1,Gold,4.99
273578,4.99,1,2024-03-04,2024-03-04,1,Gold,4.99
273601,34.96,4,2024-03-13,2024-03-17,2,Gold,8.74
273642,4.99,1,2024-03-03,2024-03-03,1,Promotion,4.99
273679,14.97,3,2024-03-22,2024-04-29,3,Remove Ads,4.99
273710,54.900000000000006,10,2024-03-11,2024-04-08,7,Promotion,5.49
273762,4.99,1,2024-04-03,2024-04-03,1,Gold,4.99
273818,4.99,1,2024-04-04,2024-04-04,1,Promotion,4.99
273898,54.94,6,2024-03-11,2024-04-06,4,Promotion,9.16
273939,24.950000000000003,6,2024-04-14,2024-04-28,5,Promotion,4.16
273985,9.98,2,2024-03-09,2024-03-24,2,Gold,4.99
273998,9.98,2,2024-03-15,2024-03-17,2,Gold,4.99
274012,4.99,1,2024-03-13,2024-03-13,1,Promotion,4.99
274062,69.9,10,2024-03-21,2024-04-02,7,Promotion,6.99
274099,14.98,2,2024-04-05,2024-04-27,2,Gold,7.49
274107,9.98,2,2024-04-19,2024-04-19,1,Gold,4.99
274143,24.950000000000003,5,2024-03-02,2024-04-19,5,Promotion,4.99
274172,19.96,4,2024-03-05,2024-03-25,3,Promotion,4.99
274174,9.98,2,2024-04-19,2024-04-28,2,Remove Ads,4.99
274177,4.99,1,2024-04-30,2024-04-30,1,Remove Ads,4.99
274212,4.99,1,2024-03-15,2024-03-15,1,Gold,4.99
274301,9.98,2,2024-04-08,2024-04-30,2,Gold,4.99
274308,4.99,1,2024-04-07,2024-04-07,1,Promotion,4.99
274316,9.98,2,2024-03-06,2024-03-07,2,Promotion,4.99
274416,4.99,1,2024-04-06,2024-04-06,1,Gold,4.99
274433,9.98,2,2024-04-16,2024-04-23,2,Promotion,4.99
274469,189.71,29,2024-03-02,2024-04-30,19,Promotion,6.54
274513,14.98,2,2024-03-02,2024-03-02,1,Gold,7.49
274591,4.99,1,2024-04-23,2024-04-23,1,Promotion,4.99
274596,24.950000000000003,5,2024-04-03,2024-04-30,5,Gold,4.99
274677,4.99,1,2024-03-30,2024-03-30,1,Remove Ads,4.99
274690,14.98,2,2024-04-01,2024-04-01,1,Gold,7.49
274703,9.98,2,2024-03-18,2024-03-22,2,Promotion,4.99
274709,4.99,1,2024-04-29,2024-04-29,1,Gold,4.99
274723,4.99,1,2024-03-22,2024-03-22,1,Promotion,4.99
274746,19.96,4,2024-03-26,2024-04-16,4,Remove Ads,4.99
274766,24.950000000000003,5,2024-03-19,2024-04-10,4,Promotion,4.99
274789,4.99,1,2024-03-24,2024-03-24,1,Promotion,4.99
274791,29.94,6,2024-03-25,2024-04-25,5,Gold,4.99
274793,9.98,2,2024-03-04,2024-03-04,1,Gold,4.99
274807,4.99,1,2024-03-12,2024-03-12,1,Gold,4.99
274827,24.950000000000003,6,2024-03-15,2024-03-19,5,Promotion,4.16
274832,9.98,2,2024-04-15,2024-04-22,2,Remove Ads,4.99
274834,64.87,13,2024-04-19,2024-04-30,7,Gold,4.99
274965,4.99,1,2024-04-27,2024-04-27,1,Gold,4.99
274995,4.99,1,2024-04-20,2024-04-20,1,Promotion,4.99
275080,4.99,1,2024-05-01,2024-05-01,1,Promotion,4.99
275081,29.96,4,2024-04-18,2024-04-28,4,Gold,7.49
275127,14.98,2,2024-03-15,2024-03-16,2,Promotion,7.49
275140,4.99,1,2024-03-17,2024-03-17,1,Remove Ads,4.99
275257,14.97,3,2024-04-07,2024-04-14,2,Gold,4.99
275278,4.99,1,2024-04-03,2024-04-03,1,Promotion,4.99
275317,9.98,2,2024-03-05,2024-03-05,1,Gold,4.99
275347,24.950000000000003,5,2024-04-01,2024-04-08,4,Promotion,4.99
275348,39.97,3,2024-03-03,2024-03-13,3,Remove Ads,13.32
275368,4.99,1,2024-03-12,2024-03-12,1,Promotion,4.99
275371,4.99,1,2024-04-19,2024-04-19,1,Gold,4.99
275379,64.87,13,2024-03-01,2024-04-30,13,Remove Ads,4.99
275510,4.99,1,2024-04-18,2024-04-18,1,Promotion,4.99
275607,14.97,3,2024-03-09,2024-03-23,2,Gold,4.99
275614,79.84,16,2024-04-04,2024-04-30,9,Gold,4.99
275670,4.99,1,2024-03-26,2024-03-26,1,Promotion,4.99
275687,19.98,2,2024-03-24,2024-03-24,1,Gold,9.99
275719,9.98,2,2024-04-02,2024-04-07,2,Promotion,4.99
275721,9.98,2,2024-03-15,2024-03-16,2,Promotion,4.99
275753,109.82000000000001,18,2024-03-11,2024-04-10,12,Promotion,6.1
