user_id,total_spend_virtual,total_no_purchases_virtual,first_gold_spend_date_virtual,last_gold_spend_date_virtual,number_of_purchase_days_virtual,preferred_product_virtual,average_spend_per_purchase_virtual
272070,163,6,2024-03-17,2024-04-04,6,Weapon,27.17
272071,27,2,2024-04-03,2024-04-12,2,Weapon,13.5
272077,17,2,2024-03-23,2024-03-24,2,Weapon,8.5
272079,68,1,2024-04-15,2024-04-15,1,Weapon,68.0
272082,36,2,2024-04-02,2024-04-04,2,Weapon,18.0
272083,193,4,2024-04-02,2024-04-26,4,Weapon,48.25
272085,141,1,2024-03-20,2024-03-20,1,Weapon,141.0
272092,61,5,2024-04-13,2024-04-29,4,Weapon,12.2
272094,72,3,2024-04-20,2024-04-22,3,Weapon,24.0
272095,1037,3,2024-03-24,2024-04-19,3,Weapon,345.67
272097,43,5,2024-03-01,2024-03-06,5,Weapon,8.6
272098,128,6,2024-03-11,2024-03-28,6,Weapon,21.33
272099,17,2,2024-04-01,2024-04-03,2,Weapon,8.5
272100,47,1,2024-04-03,2024-04-03,1,Weapon,47.0
272101,59,2,2024-03-23,2024-04-06,2,Weapon,29.5
272102,95,4,2024-04-09,2024-04-19,4,Weapon,23.75
272103,256,1,2024-04-19,2024-04-19,1,Weapon,256.0
272104,38,2,2024-04-20,2024-04-21,2,Weapon,19.0
272106,83,4,2024-03-26,2024-04-19,4,Weapon,20.75
272109,20,1,2024-04-05,2024-04-05,1,Weapon,20.0
272111,80,3,2024-04-03,2024-04-05,3,Weapon,26.67
272112,55,2,2024-03-22,2024-03-25,2,Weapon,27.5
272116,5,1,2024-03-29,2024-03-29,1,Weapon,5.0
272117,42,3,2024-03-22,2024-03-26,3,Weapon,14.0
272119,65,3,2024-04-12,2024-04-26,3,Weapon,21.67
272120,53,3,2024-04-01,2024-04-05,3,Weapon,17.67
272121,99,3,2024-03-07,2024-03-09,3,Weapon,33.0
272122,109,4,2024-04-09,2024-04-20,4,Weapon,27.25
272123,38,3,2024-03-15,2024-03-21,3,Weapon,12.67
272124,147,6,2024-04-04,2024-04-11,6,Weapon,24.5
272125,79,4,2024-04-01,2024-04-06,4,Weapon,19.75
272126,63,4,2024-04-15,2024-04-19,4,Weapon,15.75
272128,159,3,2024-04-14,2024-04-24,3,Boost,53.0
272130,8,1,2024-03-28,2024-03-28,1,Weapon,8.0
272134,269,6,2024-04-04,2024-04-19,6,Weapon,44.83
272135,103,3,2024-03-18,2024-03-20,3,Weapon,34.33
272136,308,4,2024-03-22,2024-04-01,4,Boost,77.0
272138,31,1,2024-04-05,2024-04-05,1,Weapon,31.0
272140,80,3,2024-03-15,2024-04-28,3,Weapon,26.67
272141,102,4,2024-04-01,2024-04-10,4,Weapon,25.5
272143,43,4,2024-03-01,2024-03-06,3,Boost,10.75
272149,30,2,2024-04-05,2024-04-08,2,Weapon,15.0
272153,109,5,2024-04-15,2024-04-19,5,Weapon,21.8
272154,103,3,2024-04-18,2024-04-21,3,Weapon,34.33
272156,100,1,2024-03-04,2024-03-04,1,Boost,100.0
272159,71,2,2024-03-29,2024-03-31,2,Weapon,35.5
272160,33,2,2024-04-03,2024-04-06,2,Weapon,16.5
272161,32,2,2024-04-11,2024-04-15,2,Weapon,16.0
272164,66403,9,2024-04-15,2024-05-01,5,Boost,7378.11
272169,73,3,2024-03-18,2024-03-20,3,Weapon,24.33
272171,7,2,2024-04-16,2024-04-18,2,Weapon,3.5
272173,39,1,2024-03-04,2024-03-04,1,Weapon,39.0
272174,55,2,2024-04-16,2024-04-18,2,Weapon,27.5
272176,40,2,2024-04-19,2024-04-20,2,Weapon,20.0
272180,108,5,2024-04-05,2024-04-20,5,Weapon,21.6
272183,157,4,2024-03-05,2024-04-20,4,Weapon,39.25
272184,73,9,2024-03-08,2024-03-23,9,Weapon,8.11
272185,4,1,2024-04-18,2024-04-18,1,Weapon,4.0
272186,46,2,2024-03-16,2024-03-17,2,Weapon,23.0
272189,23895,43,2024-03-04,2024-05-01,31,Boost,555.7
272192,205,4,2024-04-13,2024-04-18,3,Weapon,51.25
272194,115,5,2024-04-18,2024-04-28,5,Weapon,23.0
272195,2,1,2024-03-08,2024-03-08,1,Boost,2.0
272199,70,4,2024-03-29,2024-04-01,4,Weapon,17.5
272200,400,4,2024-04-14,2024-04-28,4,Boost,100.0
272201,293,8,2024-03-24,2024-04-29,8,Weapon,36.62
272202,39,3,2024-04-02,2024-04-05,3,Weapon,13.0
272204,194,4,2024-03-01,2024-04-12,4,Weapon,48.5
272206,576,3,2024-03-22,2024-03-30,3,Weapon,192.0
272209,33,2,2024-03-17,2024-03-23,2,Weapon,16.5
272210,3,1,2024-04-11,2024-04-11,1,Weapon,3.0
272211,59,4,2024-03-06,2024-03-11,4,Weapon,14.75
272216,116,4,2024-03-17,2024-03-21,4,Weapon,29.0
272217,37,1,2024-04-24,2024-04-24,1,Weapon,37.0
272219,2770,3,2024-03-06,2024-03-07,2,Gear,923.33
272221,64,2,2024-03-06,2024-03-28,2,Weapon,32.0
272223,97,3,2024-03-18,2024-03-21,3,Weapon,32.33
272226,62,4,2024-03-07,2024-03-10,4,Weapon,15.5
272227,48,2,2024-04-13,2024-04-17,2,Weapon,24.0
272228,300,4,2024-03-13,2024-03-30,4,Boost,75.0
272229,63,2,2024-03-11,2024-03-19,2,Weapon,31.5
272230,36,2,2024-03-08,2024-03-10,2,Weapon,18.0
272231,46,3,2024-04-03,2024-04-12,3,Weapon,15.33
272233,20,2,2024-04-02,2024-04-08,2,Weapon,10.0
272235,60,4,2024-03-20,2024-04-14,4,Weapon,15.0
272236,42,3,2024-03-28,2024-04-06,3,Weapon,14.0
272238,99,7,2024-03-22,2024-05-01,7,Weapon,14.14
272239,37,3,2024-04-09,2024-04-12,3,Weapon,12.33
272241,109,2,2024-03-23,2024-03-24,2,Weapon,54.5
